=== S43 FAST DEEP REFACTOR REPORT ===
timestamp: 20260603_010016
file: s43.py
total_lines: 29643
functions: 828
classes: 114

=== MODULE SPLIT SUGGESTIONS ===
add: first line 7957, duplicate line 24488
record: first line 7370, duplicate line 24499
append: first line 23763, duplicate line 24505
remove: first line 13230, duplicate line 24508
discard: first line 13240, duplicate line 24511
clear: first line 13243, duplicate line 24514
snapshot: first line 13150, duplicate line 24527
to_dict: first line 7380, duplicate line 24539
__len__: first line 13287, duplicate line 24545
__bool__: first line 13076, duplicate line 24548
__iter__: first line 23791, duplicate line 24552
__contains__: first line 13284, duplicate line 24555
__getattr__: first line 13173, duplicate line 24558
_run: first line 12240, duplicate line 24611
_run_fallback: first line 12242, duplicate line 28542
__init__: first line 176, duplicate line 28573
age: first line 28580, duplicate line 28590
stop: first line 9152, duplicate line 28598
start: first line 9145, duplicate line 28605
__init__: first line 176, duplicate line 28676
_task_name: first line 28588, duplicate line 28688
_update_history: first line 6490, duplicate line 28701
_run: first line 12240, duplicate line 28765
__init__: first line 176, duplicate line 28803
_task_name: first line 28588, duplicate line 28814
_run: first line 12240, duplicate line 28858
__init__: first line 176, duplicate line 28968
stop: first line 9152, duplicate line 28997
run: first line 24350, duplicate line 29222
_px_from_row: first line 2599, duplicate line 5631
__init__: first line 176, duplicate line 7440
__init__: first line 176, duplicate line 7528
update: first line 8016, duplicate line 7531
__init__: first line 176, duplicate line 7617
_noop: first line 13175, duplicate line 13294
_add: first line 12898, duplicate line 17002
_add: first line 12898, duplicate line 17115
_f: first line 16755, duplicate line 17652
_dashboard_loop: first line 29166, duplicate line 22543
_noop: first line 13175, duplicate line 23799
_noop: first line 13175, duplicate line 24559
__init__: first line 176, duplicate line 29308
__init__: first line 176, duplicate line 29315
__init__: first line 176, duplicate line 29320
_qty: first line 12034, duplicate line 6471
_f: first line 16755, duplicate line 22828
_ema: first line 6343, duplicate line 22898
_f: first line 16755, duplicate line 15522
_mid_from_row: first line 18012, duplicate line 16106
_f: first line 16755, duplicate line 17656
_age: first line 11198, duplicate line 11389
_runner: first line 16633, duplicate line 15659
_wrap: first line 22386, duplicate line 22537
